Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation
915_2,1,2,0,0.5718333805610655;1.0;1.0;1.0
916_14,0,14,0,0.5718333805610655;1.0;1.0;1.0
917_7,1,7,0,0.5718333805610655;1.0;1.0;1.0
921_4,0,4,0,0.5718333805610655;1.0;1.0;1.0
921_9,0,9,0,0.5718333805610655;1.0;1.0;1.0
924_4,0,4,0,0.5718333805610655;1.0;1.0;1.0
928_13,0,13,0,0.5718333805610655;1.0;1.0;1.0
928_14,0,14,0,0.5718333805610655;1.0;1.0;1.0
928_9,0,9,0,0.5718333805610655;1.0;1.0;1.0
929_11,1,11,1,0.9963262307127112;1.0;1.0;1.0
929_7,1,7,0,0.5718333805610655;1.0;1.0;1.0
931_2,0,2,0,0.5718333805610655;1.0;1.0;1.0
935_6,0,6,0,0.5718333805610655;1.0;1.0;1.0
938_2,1,2,0,0.5718333805610655;1.0;1.0;1.0
948_11,0,11,0,0.5718333805610655;1.0;1.0;1.0
951_3,1,3,0,0.5718333805610655;1.0;1.0;1.0
952_13,0,13,0,0.5718333805610655;1.0;1.0;1.0
956_2,1,2,0,0.5718333805610655;1.0;1.0;1.0
957_9,1,9,1,0.9963262307127112;1.0;1.0;1.0
960_11,1,11,0,0.5718333805610655;1.0;1.0;1.0
963_3,1,3,0,0.5718333805610655;1.0;1.0;1.0
967_8,0,8,0,0.5718333805610655;1.0;1.0;1.0
969_3,1,3,0,0.5718333805610655;1.0;1.0;1.0
973_3,0,3,0,0.5718333805610655;1.0;1.0;1.0
973_7,0,7,0,0.5718333805610655;1.0;1.0;1.0
974_3,0,3,0,0.5718333805610655;1.0;1.0;1.0
974_4,0,4,0,0.5718333805610655;1.0;1.0;1.0
976_7,0,7,0,0.5718333805610655;1.0;1.0;1.0
977_6,1,6,0,0.5718333805610655;1.0;1.0;1.0
982_11,1,11,1,0.9963262307127112;1.0;1.0;1.0
982_13,1,13,1,0.9963262307127112;1.0;1.0;1.0
982_6,1,6,0,0.5718333805610655;1.0;1.0;1.0
984_3,1,3,0,0.5718333805610655;1.0;1.0;1.0
987_12,1,12,0,0.5718333805610655;1.0;1.0;1.0
987_6,1,6,0,0.5718333805610655;1.0;1.0;1.0
988_12,0,12,0,0.5718333805610655;1.0;1.0;1.0
988_13,0,13,0,0.5718333805610655;1.0;1.0;1.0
998_7,1,7,0,0.5718333805610655;1.0;1.0;1.0
