Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation
Case219_2;1;2;1;1.0;0.832274011299435;0.7124887782313413;0.7124887782313413;0.8819625642262519;0.9822441123992236;0.9822441123992236;;1.0;1.0;;1.0;1.0;1.0;0.25;0.14665080362857416
Case240_2;1;2;1;0.9999999999999148;0.7121648235115892;0.7805227314995975;0.7805227314995975;0.927003934103762;0.9817206762227249;0.9817206762227249;;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.12876071023952135
Case274_2;0;2;0;1.0;0.7841236176336919;0.9596076414570024;0.9596076414570024;0.9164506236569008;0.9103407322602326;0.9103407322602326;;1.0;1.0;;1.0;1.0;0.0;0.0;0.1244936737156859
Case39_2;0;2;1;0.6631226741368845;0.6402060293894865;0.494029207313031;0.494029207313031;0.890505901155643;0.9802990601576566;0.9802990601576566;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.054491209662493365
Case60_2;0;2;1;1.0;0.32909604519774016;0.4075858794819691;0.4075858794819691;0.902832811825228;0.9858451730004772;0.9858451730004772;;1.0;1.0;;1.0;1.0;1.0;0.5;0.1818230436276591
Case118_3;1;3;1;1.0;1.0;0.963482073226778;0.963482073226778;0.9342040170179085;0.9844648606476616;0.9844648606476616;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.039820180040902785
Case125_3;0;3;1;1.0;0.5814451158106748;0.7826602069395782;0.7826602069395782;0.9160441263539164;0.9786375569593186;0.9786375569593186;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.054856856075462604
Case127_3;1;3;1;1.0;0.5984905660377359;0.8985974339834716;0.8985974339834716;0.9427861017547032;0.982624386757396;0.982624386757396;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.059538401143440264
Case248_3;1;3;1;1.0;0.8325780463242698;0.8287979356737555;0.8287979356737555;0.960869364200722;0.9551831084546896;0.9551831084546896;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0380121828348842
Case34_3;0;3;1;1.0;0.5814451158106748;0.9170770641513312;0.9170770641513312;0.900365312498623;0.9758599803264169;0.9758599803264169;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.043499151791222025
Case87_3;1;3;1;1.0;0.3303121852970795;0.8930162679770811;0.8930162679770811;0.9109672459662096;0.9701099195942472;0.9701099195942472;;1.0;1.0;;1.0;1.0;1.0;1.0;0.09335629929832372
Case90_3;0;3;0;1.0;0.7845804988662132;0.9297317483268046;0.9297317483268046;0.9487093788564376;0.9726888901559;0.9726888901559;;1.0;1.0;;1.0;1.0;1.0;1.0;0.15989678521253806
Case99_3;0;3;1;1.0;0.7845804988662132;0.9312209750994676;0.9312209750994676;0.8617869648706653;0.9392748505962234;0.9392748505962234;;1.0;1.0;;1.0;1.0;1.0;1.0;0.10182620105587087
Case111_4;1;4;1;1.0;1.0;0.7369515094504313;0.7369515094504313;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.11894275734977439
Case188_4;1;4;1;1.0;1.0;0.8122019146796824;0.8122019146796824;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.5;0.06636637832980913
Case190_4;0;4;0;1.0;1.0;0.985279199264123;0.985279199264123;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.5;0.12081913753150417
Case210_4;0;4;1;1.0;0.8327447518147929;0.7908463841945221;0.7908463841945221;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.06863303568194801
Case225_4;1;4;1;1.0;1.0;0.827280777951652;0.827280777951652;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.5;0.07027878790811902
Case236_4;0;4;0;1.0;1.0;0.4719335546640932;0.4719335546640932;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;0.3333333333333333;0.11748587545937451
Case242_4;1;4;1;1.0;1.0;0.8457261777027998;0.8457261777027998;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0857722124839538
Case72_4;0;4;0;1.0;1.0;0.8848895120131;0.8848895120131;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.5;0.1164064134733616
Case100_5;0;5;0;1.0;1.0;0.7807033445628238;0.7807033445628238;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.10745160055883882
Case110_5;1;5;1;1.0;1.0;0.9849338864934644;0.9849338864934644;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;1.0;0.10563055443118545
Case211_5;0;5;0;1.0;1.0;0.98412598028338;0.98412598028338;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.6666666666666666;0.12729770404137142
Case240_5;1;5;1;1.0;1.0;0.9958584726835832;0.9958584726835832;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;0.5;0.06482770262584256
Case33_5;1;5;1;1.0;1.0;0.917335972815038;0.917335972815038;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;1.0;0.08703035237582345
Case58_5;0;5;0;1.0;1.0;0.9929558171316528;0.9929558171316528;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;1.0;0.10479250013848794
Case70_5;1;5;1;1.0;1.0;0.9916317899330296;0.9916317899330296;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;1.0;0.12600352862865896
Case96_5;0;5;0;1.0;1.0;0.8685696921604776;0.8685696921604776;;1.0;1.0;;1.0;1.0;;1.0;1.0;1.0;1.0;0.13054160877522236
Case12_6;0;6;0;1.0;1.0;0.7574921195863435;0.7574921195863435;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.18334735775260322
Case18_6;1;6;1;1.0;1.0;0.976950502998956;0.976950502998956;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.17261188378592762
Case207_6;1;6;1;1.0;1.0;0.8981892972805768;0.8981892972805768;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.22201517719711197
Case208_6;1;6;1;1.0;1.0;0.7616172006172387;0.7616172006172387;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.1563180248374298
Case254_6;0;6;0;1.0;1.0;0.9982202521736356;0.9982202521736356;;1.0;1.0;;1.0;1.0;;;;1.0;0.125;0.2056028961756571
Case268_6;1;6;1;1.0;1.0;0.9476495809006862;0.9476495809006862;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.25826222810420907
Case56_6;0;6;0;1.0;1.0;0.9974211279507004;0.9974211279507004;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.20687724469862087
Case62_6;0;6;0;1.0;1.0;0.9975504576265619;0.9975504576265619;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.17853535381149355
Case19_7;1;7;0;1.0;1.0;0.9847023930688222;0.9847023930688222;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.20346284731819655
Case264_7;1;7;1;1.0;1.0;0.9668205155563178;0.9668205155563178;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.1412505926674857
Case63_7;1;7;1;1.0;1.0;0.9759744338515676;0.9759744338515676;;1.0;1.0;;1.0;1.0;;;;1.0;0.09090909090909091;0.15216770308831093
Case64_7;0;7;1;1.0;1.0;0.8622833045454485;0.8622833045454485;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.1409566993038683
Case6_7;1;7;0;1.0;1.0;0.9900997410802092;0.9900997410802092;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.19733657171362232
Case89_7;0;7;0;1.0;1.0;0.8224257088931959;0.8224257088931959;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.2189704166994924
Case96_7;0;7;0;1.0;1.0;0.9836196087372842;0.9836196087372842;;1.0;1.0;;1.0;1.0;;;;1.0;0.2;0.27630207379857885
Case99_7;0;7;1;1.0;1.0;0.8657314775867456;0.8657314775867456;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.23024844173374892
Case115_8;1;8;1;1.0;1.0;0.9703189312246718;0.9703189312246718;;1.0;1.0;;1.0;1.0;;;;1.0;0.16666666666666666;0.20724751278410986
Case119_8;0;8;1;1.0;1.0;0.8552523328573449;0.8552523328573449;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.2509253282203628
Case127_8;1;8;1;1.0;1.0;0.9634964333582308;0.9634964333582308;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.22499907040495257
Case251_8;0;8;0;1.0;1.0;0.9385891428036296;0.9385891428036296;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.28321501874124133
Case27_8;0;8;0;1.0;1.0;0.9656715291073408;0.9656715291073408;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.2513251304223271
Case28_8;1;8;1;1.0;1.0;0.9797220197577352;0.9797220197577352;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.2386429072641984
Case61_8;1;8;1;1.0;1.0;0.9789439215809232;0.9789439215809232;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.2882545928719236
Case9_8;0;8;0;1.0;1.0;0.9615073113461914;0.9615073113461914;;1.0;1.0;;1.0;1.0;;;;1.0;0.4;0.29475344092348305
Case210_9;0;9;0;1.0;1.0;0.9998861650776236;0.9998861650776236;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.41770416861197157
Case211_9;0;9;0;1.0;1.0;0.9979079069479014;0.9979079069479014;;1.0;1.0;;1.0;1.0;;;;1.0;0.25;0.4744765161745018
Case249_9;1;9;0;1.0;1.0;0.999916959732832;0.999916959732832;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.4496276536318493
Case250_9;0;9;0;1.0;1.0;0.9692701473620036;0.9692701473620036;;1.0;1.0;;1.0;1.0;;;;1.0;0.09523809523809523;0.47600679724135153
Case274_9;0;9;0;1.0;1.0;0.9997644199705178;0.9997644199705178;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.4770417487999171
Case37_9;1;9;1;1.0;1.0;0.9998518888343058;0.9998518888343058;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.4709950410132202
Case6_9;1;9;1;1.0;1.0;0.999861251209628;0.999861251209628;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.5473772978785678
Case73_9;1;9;1;1.0;1.0;0.999742727717736;0.999742727717736;;1.0;1.0;;1.0;1.0;;;;1.0;0.1875;0.4576954916455781
Case127_10;1;10;1;1.0;1.0;0.9998445734620988;0.9998445734620988;;1.0;1.0;;1.0;1.0;;;;1.0;0.25;0.4456575734492009
Case251_10;0;10;0;1.0;1.0;0.9997953419794156;0.9997953419794156;;1.0;1.0;;1.0;1.0;;;;1.0;0.16666666666666666;0.4772343406049846
Case274_10;0;10;0;1.0;1.0;0.9997742868302903;0.9997742868302903;;1.0;1.0;;1.0;1.0;;;;1.0;0.2857142857142857;0.4875228788117517
Case32_10;1;10;1;1.0;1.0;0.9998593238994692;0.9998593238994692;;1.0;1.0;;1.0;1.0;;;;1.0;0.14285714285714285;0.42811170263491877
Case38_10;1;10;1;1.0;1.0;0.9998410839627216;0.9998410839627216;;1.0;1.0;;1.0;1.0;;;;1.0;0.08333333333333333;0.42829221388105804
Case44_10;1;10;1;1.0;1.0;0.9997874786160996;0.9997874786160996;;1.0;1.0;;1.0;1.0;;;;1.0;0.1;0.42101770392715526
Case67_10;0;10;0;1.0;1.0;0.9998553801334652;0.9998553801334652;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.45922870430408325
Case9_10;0;10;0;1.0;1.0;0.9997267781869692;0.9997267781869692;;1.0;1.0;;1.0;1.0;;;;1.0;0.125;0.4780525841787405
Case207_11;1;11;1;1.0;1.0;0.9998595895848404;0.9998595895848404;;1.0;1.0;;1.0;1.0;;;;1.0;0.16666666666666666;0.3818649927491057
Case209_11;0;11;0;1.0;1.0;0.9998378491997943;0.9998378491997943;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.47295328195533876
Case263_11;0;11;0;1.0;1.0;0.9998115642449372;0.9998115642449372;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.47339003106179434
Case277_11;1;11;1;1.0;1.0;0.9998112878242564;0.9998112878242564;;1.0;1.0;;1.0;1.0;;;;1.0;0.15384615384615385;0.39129794765334286
Case27_11;0;11;0;1.0;1.0;0.9998735929354432;0.9998735929354432;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.46421821589985296
Case3_11;0;11;0;1.0;1.0;0.9998495215652154;0.9998495215652154;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.47049232281477266
Case44_11;1;11;1;1.0;1.0;0.9998358416952572;0.9998358416952572;;1.0;1.0;;1.0;1.0;;;;1.0;0.16666666666666666;0.3823016966998884
Case95_11;1;11;1;1.0;1.0;0.9998164996178448;0.9998164996178448;;1.0;1.0;;1.0;1.0;;;;1.0;0.058823529411764705;0.4169633666272345
Case135_12;1;12;1;1.0;1.0;0.9998417412946996;0.9998417412946996;;1.0;1.0;;1.0;1.0;;;;1.0;0.08333333333333333;0.3862408959875275
Case210_12;0;12;0;1.0;1.0;0.999832940551486;0.999832940551486;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.49539949507350484
Case240_12;1;12;1;1.0;1.0;0.9998561501303244;0.9998561501303244;;1.0;1.0;;1.0;1.0;;;;1.0;0.1111111111111111;0.39054438303933153
Case263_12;0;12;0;1.0;1.0;0.9997892098053536;0.9997892098053536;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.49478166258082684
Case265_12;0;12;0;1.0;1.0;0.9998335739287162;0.9998335739287162;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.495374954248166
Case55_12;1;12;1;1.0;1.0;0.9998366575328372;0.9998366575328372;;1.0;1.0;;1.0;1.0;;;;1.0;0.07142857142857142;0.38703911277795916
Case61_12;1;12;1;1.0;1.0;0.9998468172266856;0.9998468172266856;;1.0;1.0;;1.0;1.0;;;;1.0;0.16666666666666666;0.38759597127687306
Case90_12;0;12;0;1.0;1.0;0.9998077495764184;0.9998077495764184;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;0.5028376613118053
Case17_13;1;13;1;1.0;1.0;0.9997989945330842;0.9997989945330842;;1.0;1.0;;1.0;1.0;;;;1.0;0.10344827586206896;0.4039239472169303
Case19_13;1;13;1;1.0;1.0;0.999891390831072;0.999891390831072;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.3642523525277274
Case21_13;1;13;1;1.0;1.0;0.9998307183981824;0.9998307183981824;;1.0;1.0;;1.0;1.0;;;;1.0;0.058823529411764705;0.38204855483182576
Case265_13;0;13;0;1.0;1.0;0.9997297186992999;0.9997297186992999;;1.0;1.0;;1.0;1.0;;;;1.0;0.2;0.4931663544789858
Case269_13;0;13;0;1.0;1.0;0.9998858698755873;0.9998858698755873;;1.0;1.0;;1.0;1.0;;;;0.0;0.0;0.4924624318414623
Case273_13;0;13;0;1.0;1.0;0.9996880476176898;0.9996880476176898;;1.0;1.0;;1.0;1.0;;;;1.0;0.1111111111111111;0.49915779508712144
Case89_13;0;13;0;1.0;1.0;0.9997963237163792;0.9997963237163792;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.5044299961458211
Case95_13;1;13;1;1.0;1.0;0.9997941573728374;0.9997941573728374;;1.0;1.0;;1.0;1.0;;;;1.0;0.15;0.4063585188029172
Case101_14;0;14;0;1.0;1.0;0.999688876046522;0.999688876046522;;1.0;1.0;;1.0;1.0;;;;1.0;0.1111111111111111;0.4780540199641064
Case115_14;1;14;1;1.0;1.0;0.99982818217653;0.99982818217653;;1.0;1.0;;1.0;1.0;;;;1.0;0.125;0.3699049491296211
Case178_14;0;14;0;1.0;1.0;0.9994150788576676;0.9994150788576676;;1.0;1.0;;1.0;1.0;;;;1.0;0.07407407407407407;0.502032506236672
Case17_14;1;14;1;1.0;1.0;0.9997903076040924;0.9997903076040924;;1.0;1.0;;1.0;1.0;;;;1.0;0.06451612903225806;0.39554643939366735
Case192_14;0;14;0;1.0;1.0;0.999747018010267;0.999747018010267;;1.0;1.0;;1.0;1.0;;;;1.0;0.2;0.46921595999293564
Case249_14;1;14;1;1.0;1.0;0.9998423726022304;0.9998423726022304;;1.0;1.0;;1.0;1.0;;;;1.0;0.3333333333333333;0.3405897079538702
Case78_14;1;14;1;1.0;1.0;0.9997887926543076;0.9997887926543076;;1.0;1.0;;1.0;1.0;;;;1.0;0.1;0.3685858639463835
Case90_14;0;14;0;1.0;1.0;0.9997951491561188;0.9997951491561188;;1.0;1.0;;1.0;1.0;;;;1.0;0.5;0.474599656722107
