Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;SHAP Precision;SHAP Recall;SHAP Correlation;MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
1048_11;0;11;0;0.9983010066530312;1.0;1.0;1.0;0.0;0.0;0.0020519785290814547;-0.017388034205025223;-0.017388034205025223;0.017388034205025223;baseline_0
1048_4;0;4;0;0.9998007255172576;1.0;1.0;1.0;0.0;0.0;0.00540976157666929;0.0012289217948836992;0.0012289217948836992;-0.0012289217948836992;baseline_0
1049_9;1;9;1;0.9999955312029238;1.0;1.0;1.0;0.0;0.0;0.005475601429755489;-0.008671933640881199;-0.008671933640881199;0.008671933640881199;baseline_0
1054_14;1;14;1;0.9991521731399948;1.0;1.0;1.0;0.0;0.0;-0.0005164823007576845;-0.030587562765211386;-0.030587562765211386;0.030587562765211386;baseline_0
1055_7;1;7;1;0.9860738068602818;1.0;1.0;1.0;0.0;0.0;0.003719171235892985;-0.014302877445595797;-0.014302877445595797;0.014302877445595797;baseline_0
1056_10;0;10;0;0.9932708198498909;1.0;1.0;1.0;0.0;0.0;-0.00247573017801572;-0.04612966051722822;-0.04612966051722822;0.04612966051722822;baseline_0
1056_4;0;4;0;0.9999881569945508;1.0;1.0;1.0;0.0;0.0;0.0032229100065159604;-0.030373489121456022;-0.030373489121456022;0.033543307141119715;baseline_0
1059_14;1;14;1;0.7796390267861232;1.0;1.0;1.0;0.0;0.0;0.00010036743964928595;-0.05115254318410089;-0.05115254318410089;0.05115254318410089;baseline_0
1064_5;1;5;1;0.996834451491358;1.0;1.0;1.0;0.0;0.0;0.009111133132607403;-0.012819193997390118;-0.012819193997390118;0.016468309215284967;baseline_0
1065_2;0;2;0;0.999996923989746;1.0;1.0;1.0;0.0;0.0;0.007007910390363667;-0.019940975574440644;-0.019940975574440644;0.019940975574440644;baseline_0
1066_12;1;12;1;0.997633245595156;1.0;1.0;1.0;0.0;0.0;0.002141073933329225;-0.019397429072357475;-0.019397429072357475;0.019397429072357475;baseline_0
1069_2;0;2;1;0.744544155994667;1.0;1.0;1.0;0.0;0.0;0.0037976916060612;0.0004335748749074474;0.0004335748749074474;-0.0004335748749074474;baseline_0
1070_7;0;7;0;0.6859197534737702;1.0;1.0;1.0;0.0;0.0;0.004524375996957075;-0.004299549191641651;-0.004299549191641651;0.004299549191641651;baseline_0
1071_10;1;10;1;0.9997529310593803;1.0;1.0;1.0;0.0;0.0;0.0011207697427503599;-0.03220766881825289;-0.03220766881825289;0.03220766881825289;baseline_0
1071_11;1;11;1;0.9999146366782624;1.0;1.0;1.0;0.0;0.0;0.000769483703977859;-0.03357694057902332;-0.03357694057902332;0.03357694057902332;baseline_0
1072_13;1;13;1;0.9999999915965064;1.0;1.0;1.0;0.0;0.0;0.002710986343792295;-0.024988430131550523;-0.024988430131550523;0.024988430131550523;baseline_0
1074_14;0;14;1;0.9999988654603318;1.0;1.0;1.0;0.0;0.0;0.002761035322446922;-0.023739564022222555;-0.023739564022222555;0.023739564022222555;baseline_0
1074_2;0;2;1;0.9999995235723962;1.0;1.0;1.0;0.0;0.0;0.007821543164192538;0.006441780275891819;0.006441780275891819;-0.006441780275891819;baseline_0
1081_9;1;9;0;0.9735835644286328;1.0;1.0;1.0;0.0;0.0;0.0026478040449884176;-0.023697287716379255;-0.023697287716379255;0.023697287716379255;baseline_0
1085_10;1;10;1;0.99865361444741;1.0;1.0;1.0;0.0;0.0;-0.00017540657711279738;-0.03652902334181103;-0.03652902334181103;0.03652902334181103;baseline_0
1085_6;1;6;1;0.9980055073202307;1.0;1.0;1.0;0.0;0.0;0.003427388832156406;-0.023115423167443746;-0.023115423167443746;0.023115423167443746;baseline_0
1089_4;0;4;0;0.999907145054224;1.0;1.0;1.0;0.0;0.0;0.009218590108261463;0.0005947283661488956;0.0005947283661488956;-0.0005947283661488956;baseline_0
1094_7;1;7;1;0.9999881881501052;1.0;1.0;1.0;0.0;0.0;0.0065573393904200155;-0.004017469679955735;-0.004017469679955735;0.007386403451104366;baseline_0
1096_10;0;10;1;0.9999969539601752;1.0;1.0;1.0;0.0;0.0;0.0006200512355545454;-0.04327593803877575;-0.04327593803877575;0.04327593803877575;baseline_0
1097_3;1;3;1;0.9999937888062188;1.0;1.0;1.0;0.0;0.0;0.005815735530789181;0.0026494656529641057;0.0026494656529641057;-0.0026494656529641057;baseline_0
1100_12;1;12;1;0.9999999993894366;1.0;1.0;1.0;0.0;0.0;0.0004628054161605964;-0.02739548524995707;-0.02739548524995707;0.02739548524995707;baseline_0
1100_14;1;14;1;0.999999999854503;1.0;1.0;1.0;0.0;0.0;0.00020631084816797668;-0.027021059944055223;-0.027021059944055223;0.027021059944055223;baseline_0
1104_5;1;5;1;0.9667290744374144;1.0;1.0;1.0;0.0;0.0;0.008823229251911983;0.003398917322935168;0.003398917322935168;-0.003398917322935168;baseline_0
1105_14;0;14;0;0.6568784626009139;1.0;1.0;1.0;0.0;0.0;-0.001460903843784051;-0.04460803418046824;-0.04460803418046824;;baseline_0
1106_9;0;9;0;0.8761449059307045;1.0;1.0;1.0;0.0;0.0;0.0032714718747228083;-0.025186498117744816;-0.025186498117744816;;baseline_0
1110_13;0;13;0;0.5779740734413886;1.0;1.0;1.0;0.0;0.0;-0.00019185441817607012;-0.02143236428989241;-0.02143236428989241;0.02143236428989241;baseline_0
1118_6;0;6;0;0.9848983811839674;1.0;1.0;1.0;0.0;0.0;0.007287791312312041;-0.0018346085199290724;-0.0018346085199290724;;baseline_0
1119_6;1;6;1;0.996686711135893;1.0;1.0;1.0;0.0;0.0;0.00691324652335041;-0.0077396291980572594;-0.0077396291980572594;0.0077396291980572594;baseline_0
1120_8;1;8;1;0.9838828292212268;1.0;1.0;1.0;0.0;0.0;0.006713466518763349;-0.03867018857697287;-0.03867018857697287;0.03867018857697287;baseline_0
1121_2;1;2;1;0.999999823709942;1.0;1.0;1.0;0.0;0.0;0.00521910686176287;0.009444071174341078;0.009444071174341078;-0.0071056539716999965;baseline_0
1121_4;1;4;1;0.9999995479265544;1.0;1.0;1.0;0.0;0.0;0.006969961086755969;0.007518558807207725;0.007518558807207725;-0.004920225390579063;baseline_0
1123_5;0;5;0;0.996789198714792;1.0;1.0;1.0;0.0;0.0;-0.0009605598270462714;-0.043602980972892474;-0.043602980972892474;0.043602980972892474;baseline_0
1135_12;0;12;0;0.9763119764772584;1.0;1.0;1.0;0.0;0.0;0.0004482612526215933;-0.021902066121219112;-0.021902066121219112;0.021902066121219112;baseline_0
1135_9;0;9;0;0.9792503153396228;1.0;1.0;1.0;0.0;0.0;0.0023192647418247654;-0.01732591152947738;-0.01732591152947738;0.01732591152947738;baseline_0
1138_13;0;13;0;0.5774455057401078;1.0;1.0;1.0;0.0;0.0;0.00435483168700513;-0.03856720611293938;-0.03856720611293938;;baseline_0
1139_6;1;6;1;0.999999757513946;1.0;1.0;1.0;0.0;0.0;0.007103784339621684;-0.0006982007146040137;-0.0006982007146040137;0.0006982007146040137;baseline_0
1140_6;0;6;0;0.9989254641880796;1.0;1.0;1.0;0.0;0.0;0.009341096289102147;0.004278336293743744;0.004278336293743744;-0.001716735133694879;baseline_0
913_12;1;12;1;0.999958949663362;1.0;1.0;1.0;0.0;0.0;0.0006709997632410186;-0.03429211523328902;-0.03429211523328902;0.03429211523328902;baseline_0
913_5;1;5;1;0.9999806284489998;1.0;1.0;1.0;0.0;0.0;0.007019047315894638;0.002109457478165318;0.002109457478165318;-0.002109457478165318;baseline_0
915_9;1;9;1;0.9715706184790506;1.0;1.0;1.0;0.0;0.0;0.0017285503495154803;-0.02936186179468376;-0.02936186179468376;0.02936186179468376;baseline_0
917_4;1;4;1;0.9999999969683112;1.0;1.0;1.0;0.0;0.0;0.006390060324337873;0.006903365971627055;0.006903365971627055;-0.006903365971627055;baseline_0
918_13;1;13;1;0.99832728688358;1.0;1.0;1.0;0.0;0.0;0.0023025593535283087;-0.017506680027239742;-0.017506680027239742;0.017506680027239742;baseline_0
918_2;1;2;1;0.999997979323231;1.0;1.0;1.0;0.0;0.0;0.00521910686176287;-0.0004353871929032427;-0.0004353871929032427;0.002352758807561043;baseline_0
921_8;0;8;1;0.999999702146132;1.0;1.0;1.0;0.0;0.0;0.006509147723915654;-0.007756840890648062;-0.007756840890648062;0.010572003130118012;baseline_0
926_10;1;10;1;0.999179242243728;1.0;1.0;1.0;0.0;0.0;0.0034626766679003657;-0.018113927895744706;-0.018113927895744706;0.018113927895744706;baseline_0
926_7;1;7;1;0.9660481036052414;1.0;1.0;1.0;0.0;0.0;0.00569864018453168;-0.013260562490046306;-0.013260562490046306;0.013260562490046306;baseline_0
930_10;1;10;1;0.6595527816262645;1.0;1.0;1.0;0.0;0.0;0.00561382710576066;-0.028076077216911754;-0.028076077216911754;0.028076077216911754;baseline_0
932_5;0;5;0;0.9731253240256024;1.0;1.0;1.0;0.0;0.0;0.00835547837961119;0.0045319165831516125;0.0045319165831516125;;baseline_0
934_10;0;10;0;0.6956267851033575;1.0;1.0;1.0;0.0;0.0;-0.0008363953304107163;-0.05341878633938859;-0.05341878633938859;0.05876606127801063;baseline_0
934_11;0;11;1;0.5571550063153913;1.0;1.0;1.0;0.0;0.0;-0.0010761619917951217;-0.05407580733836436;-0.05407580733836436;;baseline_0
934_13;0;13;1;0.9177285074267764;1.0;1.0;1.0;0.0;0.0;-0.002263843360978339;-0.05256711173846416;-0.05256711173846416;0.05256711173846416;baseline_0
934_14;0;14;1;0.9748363249593932;1.0;1.0;1.0;0.0;0.0;-0.0024924580846239345;-0.05256711173846416;-0.05256711173846416;0.05256711173846416;baseline_0
934_3;0;3;0;0.5127993400799187;1.0;1.0;1.0;0.0;0.0;0.0027879844347023877;-0.026566667146083127;-0.026566667146083127;0.026566667146083127;baseline_0
936_12;0;12;0;0.999979891017759;1.0;1.0;1.0;0.0;0.0;-0.001751281539745231;-0.039442104578097915;-0.039442104578097915;0.04403469231931157;baseline_0
942_11;1;11;1;0.9999992956822276;1.0;1.0;1.0;0.0;0.0;0.004546115561128618;-0.021453582789107438;-0.021453582789107438;0.021453582789107438;baseline_0
942_3;1;3;1;0.9999999983565324;1.0;1.0;1.0;0.0;0.0;0.00734758661905829;0.009291029244074739;0.009291029244074739;-0.007011809903146138;baseline_0
944_2;0;2;0;0.8900546283590673;1.0;1.0;1.0;0.0;0.0;0.0033121255084264363;-0.021717455787774825;-0.021717455787774825;;baseline_0
951_7;1;7;1;0.9999996718511744;1.0;1.0;1.0;0.0;0.0;0.007823084323774898;-0.020811674956911223;-0.020811674956911223;0.020811674956911223;baseline_0
958_7;0;7;0;0.9998680247368136;1.0;1.0;1.0;0.0;0.0;0.007609304369036115;-0.012568387389497324;-0.012568387389497324;0.012568387389497324;baseline_0
960_8;1;8;1;0.5819806551543362;1.0;1.0;1.0;0.0;0.0;0.004888956156279298;-0.011022455496969154;-0.011022455496969154;;baseline_0
972_10;0;10;1;0.997019893430684;1.0;1.0;1.0;0.0;0.0;0.0011932573380526218;-0.04043700114766243;-0.04043700114766243;0.04468207921862099;baseline_0
973_5;0;5;0;0.999999997011188;1.0;1.0;1.0;0.0;0.0;0.0016761072924111747;-0.04262143355591912;-0.04262143355591912;0.04262143355591912;baseline_0
974_3;0;3;1;0.990942950051771;1.0;1.0;1.0;0.0;0.0;0.0028972797643400734;-0.03326155181872986;-0.03326155181872986;0.03611890774734466;baseline_0
975_12;0;12;0;0.9997492528874076;1.0;1.0;1.0;0.0;0.0;0.0030181068188932124;-0.022067480207937626;-0.022067480207937626;0.022067480207937626;baseline_0
975_6;0;6;0;0.9965835472944472;1.0;1.0;1.0;0.0;0.0;0.00838610492482136;0.004955790252540513;0.004955790252540513;-0.004955790252540513;baseline_0
977_5;1;5;1;0.9999100675440622;1.0;1.0;1.0;0.0;0.0;0.006879835746757497;0.002145539042435889;0.002145539042435889;-0.002145539042435889;baseline_0
978_2;1;2;1;0.922646775713172;1.0;1.0;1.0;0.0;0.0;0.002085389305674369;-0.022180552314395408;-0.022180552314395408;0.022180552314395408;baseline_0
979_3;0;3;1;0.9980598021799412;1.0;1.0;1.0;0.0;0.0;0.004410591375699177;-0.008831444202984099;-0.008831444202984099;0.008831444202984099;baseline_0
980_13;1;13;1;0.9989511658980748;1.0;1.0;1.0;0.0;0.0;0.0018233418202953614;-0.028010141805160253;-0.028010141805160253;0.028010141805160253;baseline_0
981_9;1;9;1;0.9579681156479948;1.0;1.0;1.0;0.0;0.0;0.006633241963015401;-0.016256542484649004;-0.016256542484649004;0.016256542484649004;baseline_0
990_8;1;8;1;0.9955424795197456;1.0;1.0;1.0;0.0;0.0;0.005035099889072512;-0.017036453310980953;-0.017036453310980953;0.017036453310980953;baseline_0
996_7;0;7;1;0.600614642535433;1.0;1.0;1.0;0.0;0.0;0.0054536088101510335;-0.008386834514360147;-0.008386834514360147;0.008386834514360147;baseline_0
998_11;1;11;1;0.9999998192589492;1.0;1.0;1.0;0.0;0.0;0.00629226881641227;-0.007511615034369544;-0.007511615034369544;0.007511615034369544;baseline_0
