Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Precision;LIME Recall;LIME Correlation;SHAP Precision;SHAP Recall;SHAP Correlation
1047_4;0.0;4.0;0.0;1.0;0.7216586514377317;-9.806062359769768;-9.806062359769768;0.0;0.0;0.4944265442527955;0.0;0.0;0.00020290795244762457
1050_4;1.0;4.0;1.0;1.0;0.8331080573702786;-6.274466716609519;-6.274466716609519;0.0;0.0;0.5070179131227683;1.0;1.0;-0.06896110779468279
1074_4;0.0;4.0;1.0;1.0;0.8331080573702786;-5.498349007220669;-5.498349007220669;0.0;0.0;0.506074052413347;1.0;1.0;-0.0506820208999575
1077_4;1.0;4.0;1.0;1.0;0.7853762956286615;-7.346209797080678;-7.346209797080678;0.0;0.0;0.5035200171127298;1.0;1.0;-0.0592038765408071
1100_4;1.0;4.0;1.0;1.0;0.8331080573702786;-6.719600643904113;-6.719600643904113;1.0;1.0;0.5039374397483687;1.0;1.0;-0.05896631208442426
1102_4;0.0;4.0;1.0;1.0;1.0;-5.678784362358773;-5.678784362358773;0.0;0.0;0.5073223040632987;1.0;1.0;-0.05919876024273722
1127_4;1.0;4.0;1.0;0.9999920630679134;0.7853762956286615;-5.289199633612972;-5.289199633612972;0.0;0.0;0.4952983763398897;0.0;0.0;-0.05152259869298929
924_4;0.0;4.0;0.0;1.0;1.0;-3.286594040981189;-3.286594040981189;0.0;0.0;0.4916729440767783;1.0;1.0;0.023936013016570137
1015_5;0.0;5.0;0.0;1.0;1.0;-5.015630310796461;-5.015630310796461;0.0;0.0;0.0931028535262286;1.0;1.0;-0.029559206094431554
1030_5;1.0;5.0;1.0;1.0;1.0;-4.964814346328995;-4.964814346328995;0.0;0.0;0.1046312509237427;1.0;1.0;-0.0478273352256612
1036_5;1.0;5.0;1.0;1.0;0.4276639875550946;-11.436000943684856;-11.436000943684856;0.0;0.0;0.0946122741708849;1.0;1.0;-0.02712054961285042
1056_5;0.0;5.0;0.0;1.0;0.2845799844438682;-5.029326377840543;-5.029326377840543;0.0;0.0;0.0896422305848216;1.0;0.3333333333333333;-0.08955188959035894
925_5;1.0;5.0;1.0;1.0;0.4992059891107078;-16.760643187770675;-16.760643187770675;0.0;0.0;0.0876649677485992;1.0;1.0;-0.001330882674124344
952_5;0.0;5.0;0.0;1.0;0.599546485260771;-11.990432383694689;-11.990432383694689;0.0;0.0;0.0627066136699595;1.0;1.0;-0.019959662862064898
955_5;1.0;5.0;1.0;1.0;0.7138319937775472;-11.09189116988607;-11.09189116988607;0.0;0.0;0.0903627554221662;1.0;1.0;-0.027049661879975564
996_5;0.0;5.0;0.0;1.0;0.1860250737463126;-60.52468413622054;-60.52468413622054;0.0;0.0;0.0991868950278308;1.0;1.0;-0.0633684420252432
1048_6;0.0;6.0;0.0;1.0;1.0;0.9954106540968488;0.9954106540968488;0.0;0.0;0.2906366807794893;1.0;1.0;-0.2710751975251709
1092_6;0.0;6.0;0.0;1.0;1.0;0.99976987800634;0.99976987800634;0.0;0.0;0.2801056050401089;0.0;0.0;-0.2567466378095064
1121_6;1.0;6.0;1.0;1.0;1.0;-0.4496025699389861;-0.4496025699389861;0.3333333333333333;1.0;0.29716542249722;1.0;1.0;-0.1762611409811179
1126_6;1.0;6.0;1.0;1.0;1.0;0.0842970301652662;0.0842970301652662;0.3333333333333333;1.0;0.2974490524672581;1.0;1.0;-0.1828448180891459
932_6;0.0;6.0;0.0;1.0;1.0;0.8414392069834882;0.8414392069834882;0.0;0.0;0.2902480026724;1.0;1.0;-0.24566669124826446
962_6;1.0;6.0;1.0;1.0;1.0;-0.2425470219180812;-0.2425470219180812;0.5;1.0;0.2950381977219336;1.0;1.0;-0.19128888089997967
972_6;0.0;6.0;0.0;1.0;1.0;0.9992417186164902;0.9992417186164902;0.0;0.0;0.2925192795020616;1.0;1.0;-0.2648788780867517
982_6;1.0;6.0;1.0;1.0;1.0;-4.831989802256167;-4.831989802256167;0.0;0.0;0.2936988339745311;1.0;1.0;-0.15755907939321273
1002_7;1.0;7.0;1.0;1.0;1.0;0.999517560186444;0.999517560186444;0.0;0.0;0.6296055389105594;1.0;1.0;0.191091328208436
1003_7;0.0;7.0;0.0;1.0;1.0;0.9994282448395886;0.9994282448395886;0.0;0.0;0.6308815003060577;1.0;1.0;0.019465735673633817
1036_7;1.0;7.0;1.0;1.0;1.0;0.9996097952485375;0.9996097952485375;0.0;0.0;0.6362307323830316;1.0;1.0;0.2030903343504313
933_7;0.0;7.0;0.0;1.0;1.0;0.9999334041018628;0.9999334041018628;0.0;0.0;0.630201118638652;0.0;0.0;0.011196210946592719
969_7;1.0;7.0;1.0;1.0;1.0;0.9995428170567962;0.9995428170567962;0.0;0.0;0.6325485914799964;1.0;1.0;0.2076074898527198
971_7;0.0;7.0;0.0;1.0;1.0;0.999922334681129;0.999922334681129;0.0;0.0;0.6328747668697114;0.0;0.0;0.011507172953251033
973_7;0.0;7.0;0.0;1.0;1.0;0.9996029422645932;0.9996029422645932;0.0;0.0;0.614699983193259;1.0;1.0;0.015663655494464027
987_7;1.0;7.0;0.0;1.0;1.0;0.9999214727306416;0.9999214727306416;0.0;0.0;0.6293816707706213;0.0;0.0;0.01167810377993457
1009_8;0.0;8.0;0.0;1.0;1.0;0.9998080230811236;0.9998080230811236;0.25;0.5;0.2293385631570348;1.0;0.5;-0.006693064726114843
1044_8;1.0;8.0;0.0;1.0;1.0;0.9997794628311436;0.9997794628311436;0.0;0.0;0.2107576339452536;0.0;0.0;-0.012297782858175888
1056_8;0.0;8.0;0.0;1.0;1.0;0.99970110002542;0.99970110002542;0.0;0.0;0.2110236077387231;0.0;0.0;-0.01293483359414103
1127_8;1.0;8.0;1.0;1.0;1.0;0.9996928761781804;0.9996928761781804;0.0;0.0;0.2327217498099672;1.0;1.0;0.1853230058429184
934_8;0.0;8.0;0.0;1.0;1.0;0.9997737796208148;0.9997737796208148;0.0;0.0;0.2283863769764139;0.0;0.0;-0.007039153678416563
947_8;0.0;8.0;0.0;1.0;1.0;0.9990299317857084;0.9990299317857084;0.0;0.0;0.2108894760806648;1.0;1.0;0.006504676507022294
955_8;1.0;8.0;1.0;1.0;1.0;0.9996514449881412;0.9996514449881412;0.5;0.5;0.2323451488965022;1.0;0.5;0.19848682673678403
991_8;1.0;8.0;1.0;1.0;1.0;0.9995430219613324;0.9995430219613324;0.25;1.0;0.2272054533334092;1.0;1.0;0.1835029447688577
1003_9;0.0;9.0;0.0;1.0;1.0;0.921127795783946;0.921127795783946;0.0;0.0;0.3372233201245247;1.0;1.0;0.007980699310221464
1045_9;0.0;9.0;1.0;1.0;1.0;0.9937966676474116;0.9937966676474116;0.0;0.0;0.3434816228650569;1.0;1.0;0.16785621595138742
1057_9;1.0;9.0;1.0;1.0;1.0;0.1115427241485549;0.1115427241485549;0.2;1.0;0.3471358628493488;1.0;1.0;0.19129336626131385
1086_9;0.0;9.0;1.0;1.0;1.0;0.9961075705781192;0.9961075705781192;0.0;0.0;0.3360384386502867;1.0;1.0;0.16478488918011877
959_9;1.0;9.0;0.0;1.0;0.8331057502655135;-9.413657863405712;-9.413657863405712;0.25;0.5;0.349168597741296;1.0;0.5;0.021556052857151217
961_9;0.0;9.0;0.0;1.0;1.0;0.9936559742017756;0.9936559742017756;0.0;0.0;0.3467470626934528;1.0;1.0;0.014008534829150094
969_9;1.0;9.0;1.0;1.0;1.0;0.99451242101351;0.99451242101351;0.1666666666666666;1.0;0.34318422575899;1.0;1.0;0.17179515303875645
990_9;1.0;9.0;1.0;1.0;1.0;-5.861385987734853;-5.861385987734853;0.1666666666666666;1.0;0.3453572591790467;1.0;1.0;0.19363450432313808
1011_10;0.0;10.0;0.0;1.0;1.0;0.9567987397216776;0.9567987397216776;0.0;0.0;0.3681608409775443;0.0;0.0;-0.21630384456324836
1030_10;1.0;10.0;0.0;1.0;1.0;0.1443200605811626;0.1443200605811626;0.0;0.0;0.3702456496310609;0.0;0.0;-0.2672402331546935
1062_10;1.0;10.0;1.0;1.0;1.0;-0.3797569889473621;-0.3797569889473621;1.0;0.5;0.3548498616690275;1.0;0.5;-0.1385658573438403
1076_10;1.0;10.0;1.0;1.0;1.0;-8.57397581671241;-8.57397581671241;1.0;0.5;0.3571086503018844;1.0;0.5;-0.17054034467791498
1084_10;0.0;10.0;0.0;1.0;1.0;0.9381252215180704;0.9381252215180704;0.0;0.0;0.3680738495806363;0.0;0.0;-0.2553889160354157
1140_10;0.0;10.0;0.0;1.0;1.0;0.9716159645550732;0.9716159645550732;0.0;0.0;0.3695076286263662;1.0;1.0;-0.22302735251744096
976_10;0.0;10.0;1.0;1.0;1.0;0.9964837401678384;0.9964837401678384;0.0;0.0;0.3574359264999237;1.0;1.0;-0.009681865410695845
986_10;1.0;10.0;1.0;1.0;1.0;-3.649999240687161;-3.649999240687161;1.0;0.5;0.3587629743710191;1.0;0.5;-0.15283505855811733
1055_11;1.0;11.0;1.0;1.0;1.0;-12.144667562864678;-12.144667562864678;0.5;1.0;0.4336592639907629;1.0;1.0;0.11116185710996626
1089_11;0.0;11.0;0.0;1.0;1.0;-5.716349012521522;-5.716349012521522;0.0;0.0;0.4353524539177237;1.0;1.0;-0.08342630432383723
1117_11;1.0;11.0;1.0;1.0;1.0;-1.0527398618926678;-1.0527398618926678;0.5;0.5;0.432754427806631;1.0;0.5;0.19771845929452417
1139_11;1.0;11.0;1.0;1.0;1.0;0.1906832561041789;0.1906832561041789;0.5;1.0;0.4333227831869267;1.0;1.0;0.1835957434543943
1140_11;0.0;11.0;0.0;1.0;1.0;-3.237050663687816;-3.237050663687816;0.0;0.0;0.4306477607964291;1.0;1.0;0.014127659651691464
916_11;0.0;11.0;0.0;1.0;0.8331031307550644;-10.28680876923666;-10.28680876923666;0.0;0.0;0.4360931418051779;0.0;0.0;-0.028613902350119416
941_11;1.0;11.0;1.0;1.0;0.8331031307550644;-9.64682801464254;-9.64682801464254;0.5;0.5;0.429313053607879;1.0;0.5;0.09434821891470832
971_11;0.0;11.0;0.0;1.0;0.8331031307550644;-10.96043049902255;-10.96043049902255;0.0;0.0;0.4363455024080551;0.0;0.0;-0.03084474929621145
1017_12;1.0;12.0;1.0;1.0;1.0;0.9997433189198092;0.9997433189198092;0.2;0.5;0.4400161321703551;1.0;1.0;0.21542977319431203
1018_12;0.0;12.0;0.0;1.0;1.0;0.9998169930811632;0.9998169930811632;0.0;0.0;0.4334870009971629;1.0;1.0;0.027211305830666777
1050_12;1.0;12.0;1.0;1.0;1.0;0.9997764267681172;0.9997764267681172;0.2;0.5;0.4430912009995196;1.0;0.5;0.21784641389256326
1116_12;1.0;12.0;1.0;1.0;1.0;0.9997852904159582;0.9997852904159582;0.25;0.5;0.4386363996675242;1.0;1.0;0.20906980986110404
1141_12;0.0;12.0;0.0;1.0;1.0;0.9997637306261224;0.9997637306261224;0.0;0.0;0.4373903545142357;1.0;1.0;0.0297311040896465
917_12;1.0;12.0;1.0;1.0;1.0;0.9991628781850888;0.9991628781850888;0.1666666666666666;0.5;0.4240378419002677;1.0;0.5;0.2097033522549904
922_12;0.0;12.0;0.0;1.0;1.0;0.9998098481462452;0.9998098481462452;0.0;0.0;0.4176340920367745;1.0;1.0;0.02090603894867754
961_12;0.0;12.0;0.0;1.0;1.0;0.9998119251720448;0.9998119251720448;0.0;0.0;0.4373456317714325;1.0;1.0;0.030657418407400192
1066_13;1.0;13.0;1.0;1.0;1.0;0.9996577999001068;0.9996577999001068;0.3333333333333333;0.5;0.4635116748221688;1.0;0.5;0.19944629052866125
1069_13;0.0;13.0;0.0;1.0;1.0;0.9997564054541356;0.9997564054541356;0.0;0.0;0.4524546476652652;1.0;1.0;0.056181281133777364
1100_13;1.0;13.0;1.0;1.0;1.0;0.999794588061412;0.999794588061412;0.3333333333333333;0.5;0.4595071680440933;1.0;0.5;0.20384623964071508
1104_13;1.0;13.0;0.0;1.0;1.0;0.9998426441167022;0.9998426441167022;0.25;0.5;0.4627321253281096;1.0;0.5;0.16795594142478443
1110_13;0.0;13.0;0.0;1.0;1.0;0.9999747955384936;0.9999747955384936;0.0;0.0;0.4469024131164676;0.0;0.0;0.04617644331351618
915_13;1.0;13.0;1.0;1.0;1.0;0.999926118590126;0.999926118590126;0.2;1.0;0.4532460629837005;1.0;1.0;0.19911649455334707
937_13;0.0;13.0;0.0;1.0;1.0;0.9999664230129404;0.9999664230129404;0.0;0.0;0.4555316077615303;0.0;0.0;0.04917987194059228
961_13;0.0;13.0;0.0;1.0;1.0;0.9998135644188912;0.9998135644188912;0.0;0.0;0.4582181981430563;1.0;1.0;0.056559805821633675
1014_14;1.0;14.0;0.0;1.0;1.0;0.9995433517392136;0.9995433517392136;0.5;1.0;0.4394933709384021;1.0;0.5;0.16053251000645505
1031_14;0.0;14.0;0.0;1.0;1.0;0.9998319262500096;0.9998319262500096;0.0;0.0;0.4386196001068284;0.0;0.0;0.03555546069346989
1042_14;1.0;14.0;1.0;1.0;1.0;0.9998748115730872;0.9998748115730872;0.25;1.0;0.4155320717625076;1.0;1.0;0.24920266634094573
1091_14;1.0;14.0;1.0;1.0;1.0;0.999840039240748;0.999840039240748;0.3333333333333333;1.0;0.4400313492530004;1.0;1.0;0.2524770699261287
1098_14;0.0;14.0;0.0;1.0;1.0;0.9997855048715092;0.9997855048715092;0.0;0.0;0.4371209740901227;0.0;0.0;0.03751588590045226
1140_14;0.0;14.0;0.0;1.0;1.0;0.9996387524091834;0.9996387524091834;0.0;0.0;0.4388226094204783;1.0;1.0;0.040777554322973336
987_14;1.0;14.0;0.0;1.0;1.0;0.9999340298313748;0.9999340298313748;0.3333333333333333;0.5;0.4363553716685449;1.0;0.5;0.034066058138031555
996_14;0.0;14.0;0.0;1.0;1.0;0.99976114811285;0.99976114811285;0.0;0.0;0.4161312543569996;0.0;0.0;0.0366367999768773
